 #aa  mm  Ext Proba
   1  18  92   0.543E-16
   1  18  93   0.413E-12
   1  18  94   0.808E-17
   1  18  95   0.361E-11
   1  18  96   0.186E-12
   1  18  97   0.152E-11
   1  18  98   0.162E-13
   1  18  99   0.149E-14
   1  18 100   0.121E-12
   1  18 101   0.101E-12
   1  18 102   0.159E-13
   1  18 103   0.135E-13
   1  18 104   0.218E-14
   1  18 105   0.127E-14
   1  18 106   0.392E-15
   1  18 107   0.211E-15
   1  18 108   0.128E-15
   1  18 109   0.567E-16
   1  18 110   0.793E-17
   1  18 111   0.419E-24
   1  19  85   0.817E-17
   1  19  87   0.222E-16
   1  19  88   0.870E-34
   1  19  89   0.214E-24
   1  19  90   0.527E-20
   1  19  91   0.469E-10
   1  19  92   0.811E-21
   1  19  93   0.766E-17
   1  19  94   0.190E-14
   1  19  95   0.693E-11
   1  19  96   0.147E-11
   1  19  97   0.150E-11
   1  19  98   0.105E-12
   1  19  99   0.113E-12
   1  19 100   0.725E-13
   1  19 101   0.322E-13
   1  19 102   0.677E-13
   1  19 103   0.112E-13
   1  19 104   0.712E-15
   1  19 105   0.113E-14
   1  19 106   0.616E-15
   1  19 107   0.107E-15
   1  19 108   0.612E-18
   1  19 109   0.179E-17
   1  19 110   0.960E-20
   1  19 111   0.164E-18
   1  20  87   0.539E-36
   1  20  88   0.168E-35
   1  20  89   0.508E-33
   1  20  90   0.112E-25
   1  20  91   0.166E-23
   1  20  92   0.291E-11
   1  20  93   0.823E-21
   1  20  94   0.517E-11
   1  20  95   0.801E-14
   1  20  96   0.203E-11
   1  20  97   0.657E-12
   1  20  98   0.142E-14
   1  20  99   0.174E-12
   1  20 100   0.245E-12
   1  20 101   0.123E-12
   1  20 102   0.538E-13
   1  20 103   0.150E-13
   1  20 104   0.495E-14
   1  20 105   0.304E-14
   1  20 106   0.692E-15
   1  20 107   0.171E-15
   1  20 108   0.132E-15
   1  20 109   0.223E-16
   1  20 110   0.170E-17
   1  20 111   0.224E-18
   1  21  88   0.613E-34
   1  21  89   0.132E-33
   1  21  90   0.219E-32
   1  21  91   0.619E-30
   1  21  92   0.767E-27
   1  21  93   0.219E-17
   1  21  94   0.501E-25
   1  21  95   0.154E-14
   1  21  96   0.288E-11
   1  21  97   0.308E-11
   1  21  98   0.461E-12
   1  21  99   0.167E-13
   1  21 100   0.132E-12
   1  21 101   0.205E-12
   1  21 102   0.303E-13
   1  21 103   0.430E-13
   1  21 104   0.873E-14
   1  21 105   0.336E-14
   1  21 106   0.806E-15
   1  21 107   0.302E-15
   1  21 108   0.160E-15
   1  21 109   0.274E-16
   1  21 110   0.404E-17
   1  21 111   0.946E-18
   1  22  87   0.407E-20
   1  22  88   0.192E-32
   1  22  89   0.228E-30
   1  22  90   0.134E-26
   1  22  91   0.207E-30
   1  22  92   0.485E-25
   1  22  93   0.405E-24
   1  22  94   0.922E-16
   1  22  95   0.114E-13
   1  22  96   0.578E-20
   1  22  97   0.122E-12
   1  22  98   0.405E-12
   1  22  99   0.204E-12
   1  22 100   0.170E-12
   1  22 101   0.372E-13
   1  22 102   0.499E-13
   1  22 103   0.381E-13
   1  22 104   0.201E-13
   1  22 105   0.478E-14
   1  22 106   0.202E-14
   1  22 107   0.249E-15
   1  22 108   0.400E-16
   1  22 109   0.533E-16
   1  22 110   0.374E-17
   1  22 111   0.229E-17
   1  23  85   0.127E-37
   1  23  86   0.281E-36
   1  23  87   0.169E-33
   1  23  88   0.143E-32
   1  23  89   0.283E-31
   1  23  90   0.381E-27
   1  23  91   0.397E-18
   1  23  92   0.432E-25
   1  23  93   0.248E-16
   1  23  94   0.278E-22
   1  23  95   0.141E-14
   1  23  96   0.399E-14
   1  23  97   0.751E-12
   1  23  98   0.776E-15
   1  23  99   0.327E-12
   1  23 100   0.108E-12
